message_type,match
help,ヘルプ%
help,使い方%
help,どう%使%
help,できること%
help,説明%
thanks,%ありがとう%
thanks,助かった%
thanks,助かりま%
thanks,賢い%
thanks,役に立った%
thanks,そのとおり%
thanks,そうだ%
mistake,違う%
mistake,ばか
mistake,バカ
